epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,3732.26,0.89879,0.47518,0.94078,0.74439,0.63196,0.65846,0.46145,1.2014,0.62464,1.02224,0.000590105,0.000590105,0.000590105
91,4057.06,0.89761,0.47421,0.93699,0.72712,0.64041,0.66533,0.46222,1.204,0.62964,1.02653,0.000582435,0.000582435,0.000582435
92,4378.81,0.88364,0.4699,0.93877,0.73822,0.63148,0.66812,0.46344,1.21002,0.6338,1.03369,0.000574746,0.000574746,0.000574746
93,4697.46,0.89964,0.47334,0.93597,0.71069,0.64718,0.66174,0.45494,1.21087,0.63517,1.03508,0.00056704,0.00056704,0.00056704
94,5014.01,0.89418,0.46336,0.93311,0.65782,0.65525,0.65493,0.44544,1.21299,0.63027,1.03488,0.000559318,0.000559318,0.000559318
95,5330.58,0.87144,0.46175,0.93142,0.85046,0.58531,0.65294,0.44255,1.21443,0.62281,1.03671,0.000551584,0.000551584,0.000551584
96,5645.12,0.87812,0.46674,0.93448,0.67752,0.65147,0.65309,0.44669,1.21151,0.62473,1.03355,0.000543837,0.000543837,0.000543837
97,5940.66,0.89249,0.46717,0.93523,0.65296,0.65479,0.65273,0.4569,1.21402,0.63251,1.03664,0.000536081,0.000536081,0.000536081
98,6243.47,0.87389,0.46401,0.93338,0.84415,0.59431,0.65097,0.44374,1.21246,0.63727,1.03637,0.000528318,0.000528318,0.000528318
99,6538.07,0.87009,0.45795,0.93066,0.66662,0.65136,0.65371,0.4502,1.20979,0.63636,1.03547,0.000520548,0.000520548,0.000520548
100,6842.95,0.87907,0.45862,0.93081,0.68508,0.64883,0.65838,0.45893,1.2138,0.64399,1.03779,0.000512775,0.000512775,0.000512775
101,7149.92,0.87167,0.45598,0.93159,0.68733,0.64676,0.65553,0.45407,1.21717,0.64449,1.0382,0.000505,0.000505,0.000505
102,7454.74,0.87972,0.45259,0.93083,0.68153,0.64921,0.65691,0.45416,1.21582,0.6418,1.03824,0.000497225,0.000497225,0.000497225
103,7754.25,0.86802,0.45566,0.92907,0.67509,0.64757,0.65498,0.45239,1.21574,0.63928,1.03724,0.000489452,0.000489452,0.000489452
104,8055.7,0.87291,0.45526,0.93088,0.66561,0.64709,0.65401,0.44838,1.21893,0.64155,1.03708,0.000481682,0.000481682,0.000481682
105,8352.48,0.85688,0.44989,0.92711,0.67621,0.64487,0.656,0.45315,1.21834,0.65746,1.03738,0.000473919,0.000473919,0.000473919
106,8650.45,0.87025,0.44981,0.92686,0.68351,0.64342,0.65618,0.45056,1.21873,0.65913,1.03773,0.000466163,0.000466163,0.000466163
107,8939.26,0.86297,0.44899,0.92482,0.67104,0.6444,0.65646,0.45357,1.21736,0.64615,1.03604,0.000458416,0.000458416,0.000458416
108,9224.78,0.86952,0.4506,0.92382,0.67281,0.64385,0.65614,0.45574,1.21849,0.64889,1.03572,0.000450682,0.000450682,0.000450682
109,9504.11,0.84596,0.44352,0.92696,0.68505,0.64301,0.65509,0.45457,1.2196,0.65801,1.03707,0.00044296,0.00044296,0.00044296
110,9782.31,0.86406,0.44753,0.92627,0.6811,0.64301,0.65593,0.45595,1.21887,0.65735,1.03563,0.000435254,0.000435254,0.000435254
111,10084.3,0.86918,0.4464,0.9232,0.68317,0.64269,0.65336,0.45479,1.2195,0.65627,1.03704,0.000427565,0.000427565,0.000427565
112,10384.1,0.86408,0.44481,0.92365,0.68026,0.64302,0.65244,0.45467,1.21917,0.65454,1.03771,0.000419895,0.000419895,0.000419895
113,10692.6,0.85179,0.43789,0.92147,0.69185,0.64346,0.65154,0.45452,1.21996,0.65063,1.03948,0.000412246,0.000412246,0.000412246
114,11030.4,0.8503,0.43579,0.922,0.69652,0.64332,0.65125,0.45378,1.21949,0.64578,1.03836,0.00040462,0.00040462,0.00040462
115,11375.1,0.85103,0.43545,0.92053,0.69321,0.64669,0.65049,0.4519,1.22072,0.64485,1.03951,0.000397019,0.000397019,0.000397019
116,11717.2,0.83395,0.43206,0.92081,0.70092,0.64886,0.65048,0.45154,1.22159,0.64735,1.04137,0.000389445,0.000389445,0.000389445
